[ADMIN_ACCESS_SUCCESS] 2026-04-05T09:57:11.862Z | GET /dashboard | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T09:57:13.425Z | GET /api/admin/summary | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/dashboard | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T09:57:24.886Z | GET /api/admin/categories | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/dashboard | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_FAILED] 2026-04-05T10:06:12.733Z | GET /dashboard | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=invalid_credentials
[ADMIN_ACCESS_FAILED] 2026-04-05T10:06:22.969Z | GET /dashboard | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=invalid_credentials
[ADMIN_ACCESS_SUCCESS] 2026-04-05T10:06:32.434Z | GET /dashboard | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T10:06:34.079Z | GET /api/admin/summary | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/dashboard | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T10:06:47.538Z | GET /api/admin/categories | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/dashboard | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T10:08:08.692Z | GET /dashboard | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T10:08:09.761Z | GET /api/admin/summary | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/dashboard | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T10:08:52.825Z | POST /api/admin/change-password | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=http://192.168.1.5:3000 | referer=http://192.168.1.5:3000/dashboard | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_FAILED] 2026-04-05T10:13:43.272Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=direct | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=missing_credentials
[ADMIN_ACCESS_SUCCESS] 2026-04-05T10:14:02.256Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=direct | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T10:14:05.592Z | GET /api/admin/summary | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T10:14:10.758Z | GET /api/admin/categories | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_FAILED] 2026-04-07T17:00:30.966Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=missing_credentials
[ADMIN_ACCESS_FAILED] 2026-04-07T17:01:39.461Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=invalid_credentials
[ADMIN_ACCESS_FAILED] 2026-04-07T17:02:06.738Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=invalid_credentials
[ADMIN_ACCESS_SUCCESS] 2026-04-07T17:02:54.373Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-07T17:02:55.906Z | GET /api/admin/summary | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-07T17:03:11.247Z | GET /api/admin/categories | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-07T17:03:34.813Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-07T17:03:36.196Z | GET /api/admin/summary | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-07T17:15:24.901Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-07T17:15:26.566Z | GET /api/admin/summary | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-07T17:58:41.387Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-07T17:58:42.906Z | GET /api/admin/summary | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_FAILED] 2026-04-12T09:35:20.527Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=missing_credentials
[ADMIN_ACCESS_SUCCESS] 2026-04-12T09:36:44.382Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-12T09:36:46.772Z | GET /api/admin/summary | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-12T10:23:13.038Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/about | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
